cartera,alpha,beta_MKT,beta_SMB,beta_HML,alpha_se,alpha_t,beta_MKT_t,beta_SMB_t,beta_HML_t,r2,r2_adj,sigma_residual,rend_medio,n_obs
ME5 BM8,6.003465338042552e-05,0.9635724319351593,0.5773075623959528,0.6578584250584645,0.0008505200437746106,0.07058581842938297,48.43042723605052,19.823919687573174,22.7601462963049,0.8281286251650055,0.8274411396656656,0.022951259231103582,0.008616671087533157,754
ME5 BM9,0.00041508370866160564,1.0607423086652388,0.5736058263115954,0.8147044954530175,0.0009176659041372181,0.4523255215108639,49.41329134161215,18.255586664516635,26.12418063739726,0.8313925260461498,0.8307180961503344,0.024763188366410453,0.010011496021220158,754
ME5 BM10,-0.0022063084392650195,1.1751144510599705,0.6485620274289019,0.9604949611796113,0.0013395538343141812,-1.6470472352420202,37.50062294783687,14.140285614697463,21.09901010775636,0.743305000166921,0.7422782201675887,0.03614782218290776,0.008615895225464193,754
ME6 BM1,-0.0011973034881632466,1.1455642388816079,0.7243147334605594,-0.5579375297607788,0.001033518371033052,-1.1584733486319005,47.382692314022165,20.468025745226498,-15.885267616511943,0.8525302834415538,0.85194040457532,0.027889463896013083,0.005059832891246685,754
ME6 BM2,-0.0004799204563336924,1.0688181911917127,0.6139340373801973,-0.15338100404272118,0.0010009153661695964,-0.47948155513917257,45.64833769291174,17.91394313251749,-4.509219546142442,0.8183538707209883,0.8176272862038723,0.02700967273552117,0.006355014588859417,754
ME6 BM3,0.0001106657694405966,1.0465277917290297,0.5243161411603569,0.0976503584272796,0.0009009842928228077,0.1228276345349793,49.653747688395576,16.99584821275222,3.1892148895437917,0.8265529971413944,0.82585920912996,0.02431303555875833,0.00742426525198939,754
ME6 BM4,-0.00016359248190691309,1.0112712397065642,0.42584710497229183,0.23595246273711015,0.0009018263331139747,-0.18140131408897098,47.93615882775048,13.791059195240711,7.698901500555678,0.8050397311231676,0.8042598900476603,0.024335757992106095,0.007204063660477455,754
ME6 BM5,-0.0012045154555228982,0.9944582347825112,0.39639411557358856,0.380505131950026,0.0008802678477772669,-1.3683510746920695,48.29366841765609,13.151618286707555,12.71958202747962,0.8040574454574854,0.8032736752393153,0.023754002877439045,0.006447694960212201,754
ME6 BM6,-0.0006822095772116927,0.9684153244317303,0.3553814516021966,0.4647584995848194,0.000896811159991984,-0.760705940833509,46.161417462872194,11.573390016784591,15.249426045156158,0.7870775927723772,0.7862259031434667,0.02420042368781288,0.007003659151193634,754
ME6 BM7,0.000844768620556751,1.0356092142353548,0.3401623963104096,0.610696617163476,0.0008891672107930129,0.9500672205437439,49.78871912059405,11.172997434664257,20.210136013726604,0.8102386025999148,0.8094795570103144,0.02399415193572533,0.009342053050397876,754
ME6 BM8,-0.0008532095402865759,0.9963831785678894,0.37530374973688935,0.6541320928371802,0.0009305568270749083,-0.9168806412054767,45.77221973543232,11.77895709261702,20.684723425514804,0.7896373478474262,0.7887958972388159,0.025111049555851757,0.007590359416445622,754
ME6 BM9,0.0002354630507105123,1.0395280170240524,0.5572442450484612,0.8270643313773883,0.001089973718717803,0.21602635611021945,40.769807348611025,14.931258058084188,22.328030988691168,0.7712365259660235,0.7703214720698877,0.029412909850260557,0.009717661803713527,754
ME6 BM10,0.002320572100724711,1.1069878830922,0.618631430483964,0.7982444911713128,0.0015663044332330182,1.481558789905743,30.212396590642665,11.535133894031315,14.99639648500931,0.6482840945014791,0.646877230879485,0.042266680656245934,0.012210838196286473,754
ME7 BM1,0.0013258233230943758,1.059835519287319,0.5651614623708594,-0.5236761718882655,0.0010624068336553606,1.2479431429603043,42.644801942235304,15.536332979415908,-14.504378315754725,0.8158442460596153,0.8151076230438536,0.028669018239600497,0.006937679045092838,754
ME7 BM2,-0.00023488201902080571,1.0646205126436716,0.3798214103828275,-0.08976587063941842,0.0008517564205511095,-0.27576195888119126,53.431565722783255,13.023594391626599,-3.1011515669624465,0.8408133248333505,0.8401765781326839,0.022984622823311016,0.006418160477453582,754
ME7 BM3,-0.00011777633664022467,1.053228202948488,0.2759284880546219,0.18057004903792734,0.0008949146244004325,-0.1316062263695059,50.31058435056992,9.004959665874443,5.9373311481088855,0.8065571989511218,0.8057834277469262,0.024149245728726187,0.007115179045092839,754
ME7 BM4,-0.0016206423107858444,1.064963296575904,0.2848126687454512,0.24818721294016108,0.0008864183550863797,-1.8283040975927398,51.35874310523657,9.38398702716477,8.238873273921994,0.812238421264018,0.8114873749490741,0.02391997414253442,0.005895913793103448,754
ME7 BM5,-0.0015195562146000379,1.069349047578721,0.20292590754865747,0.3978178113712291,0.0009574375738883886,-1.5871073540896747,47.74495703200325,6.190045849295905,12.226465250817508,0.7811549306127415,0.7802795503351925,0.02583642574534617,0.0063458700265251996,754
ME7 BM6,-0.0006746749781291626,1.0625014926128986,0.23006659641928193,0.49719487462748113,0.0009114214298554859,-0.7402448044656339,49.83435022273724,7.372268904642748,16.052200233432306,0.7986222388931761,0.7978167278487488,0.024594681405227095,0.007484423076923077,754
ME7 BM7,0.0015148522582040219,1.0046479180657109,0.27866856299691267,0.5307407954910146,0.0009838988352731,1.5396422923740383,43.6497669219643,8.271882705459548,15.873006194228322,0.7597569938238717,0.7587960217991672,0.026550482132456362,0.009499522546419097,754
ME7 BM8,0.0002231216795702917,1.0009366528199508,0.480134009218259,0.49917437650507096,0.0010212139450271906,0.21848671442138495,41.89945201475322,13.731328865527361,14.38343810035966,0.76550592619129,0.7645679498960551,0.027557429309623852,0.008389270557029177,754
ME7 BM9,9.863230875577263e-05,1.0885954417795451,0.4023349570711953,0.8050147645740711,0.001142777561729918,0.08630928017738172,40.72145562939072,10.28236223642405,20.728568085911007,0.7512524438296693,0.750257453604988,0.03083782005459985,0.009580029177718833,754
ME7 BM10,-0.001460103119994928,1.185617630634209,0.41956726214341583,0.9828677905702686,0.0016750079966868264,-0.8716991936056536,30.14433438982248,7.300743316537492,16.720279665557435,0.6349162974358304,0.6334322173441062,0.04490312763085407,0.008961808625336928,742
ME8 BM1,0.0013615680828741046,1.0722239229059347,0.399521727466345,-0.5713253630262528,0.0009183436819018444,1.4826345623180683,49.911283389917266,12.705799455861666,-18.306504342539327,0.8497970978946146,0.849196286286193,0.02478147818014368,0.006661843501326261,754
ME8 BM2,-0.0007168844650027641,1.0553533308144256,0.2801596837605975,-0.12037430301946361,0.0007767162400993861,-0.9229682965184736,58.08366156936462,10.534406883843632,-4.560354048154334,0.856786628037199,0.8562137745493478,0.020959665684555213,0.005643068965517243,754
ME8 BM3,-1.925462160936e-05,1.0356302766482033,0.23900843157085847,0.0802716048561365,0.0008597320674151472,-0.022396072380143444,51.494411536973686,8.119269030902618,2.7474258559207554,0.8136886925937676,0.8129434473641427,0.023199845427471978,0.0067568633952254644,754
ME8 BM4,-0.0010504559806406263,1.0808277763839025,0.19598003980602546,0.2827920169069157,0.0008741952512197179,-1.2016262719054824,52.85262244978759,6.547420509164659,9.518880254218297,0.8136106415506672,0.8128650841168699,0.023590134031762376,0.006532371352785146,754
ME8 BM5,0.0016647340086303167,0.9948814664619008,0.11384327719016184,0.3836098787590964,0.0009639899603741553,1.7269204836782537,44.118152394975965,3.449067662209862,11.709663983539313,0.7463305493157679,0.745315871513031,0.02601324170861236,0.008911855437665782,754
ME8 BM6,-0.0019974342882965786,1.0595024837806977,0.15648305269193952,0.4638501446100167,0.0009317998990269479,-2.143630075923428,48.60688690856719,4.904689136878602,14.64813043228952,0.7844323240984629,0.7835700533948567,0.025144593817181045,0.00593637400530504,754
ME8 BM7,-0.00023615008255664473,1.0337989283150997,0.12422202679460168,0.5333156701915358,0.0010000675299679696,-0.23613413642597536,44.19012577047149,3.627739718048023,15.692140170027372,0.7499922423603929,0.7489922113298344,0.026986793899694224,0.007702425729442971,754
ME8 BM8,0.00035791631027187515,1.0119094138605291,0.18777123083578645,0.6594187661321296,0.0009787325930872928,0.3656936662780093,44.197333860333316,5.603144695695896,19.825512021872015,0.7605857365533956,0.7596280794996091,0.026411071233765602,0.008633241379310343,754
ME8 BM9,-0.000669858958388182,1.071974619413953,0.22175683692962028,0.7975387418343111,0.0011217187508678528,-0.5971719362540072,40.8525349422009,5.773775250423595,20.921603649256234,0.7377496807399132,0.7367006794628729,0.030269548641442982,0.008423718832891247,754
ME8 BM10,-0.0022145215443893904,1.2340304075399584,0.31924512374333275,0.8818924029953429,0.0016619491188355766,-1.3324845624281005,31.7414399431978,5.610135939070687,15.61439059231818,0.6328504339165372,0.6313818356522033,0.044847649781440874,0.008240806366047746,754
ME9 BM1,5.559611257020088e-05,1.0825642564527806,0.1764554396944907,-0.4711741993937493,0.0007608590367147527,0.07307018762667855,60.82301824139252,6.773259019076968,-18.222353163087803,0.8777944587446892,0.877305636579668,0.020531759501479417,0.005385392572944298,754
ME9 BM2,0.00037008829734288986,1.017859983705739,0.11795261028743237,-0.1673288142650223,0.0007711218520457097,0.47993491088481327,56.426552553703864,4.46736442870202,-6.3852055779136645,0.8419822159273995,0.8413501447911091,0.020808701281777024,0.006127649867374006,754
ME9 BM3,0.00036399756682154306,1.0014889880660727,0.07238608746335391,0.1523001439904731,0.0008183798399155527,0.44477826684868405,52.313014044947884,2.5832534422931106,5.476114909865268,0.8042651625079684,0.8034822231580003,0.022083956742574306,0.006903872679045093,754
ME9 BM4,-0.001002284178606913,1.0451613541186655,-0.024735452234613774,0.2999773374129697,0.0009355385945234318,-1.0713445543286024,47.75733911173524,-0.7721914387596698,9.435260575604978,0.7650491291763852,0.7641093256930908,0.025245482408995,0.006092848806366047,754
ME9 BM5,-0.00028171932861206696,0.9900905440159646,-0.00571644451482898,0.3676891797697435,0.0008834270260202843,-0.3188937176635554,47.90961914559287,-0.18898274253420108,12.24721465629827,0.7675762742313327,0.766646579328258,0.02383925321262335,0.006713226790450928,754
ME9 BM6,0.0004068056063269571,0.9378774669709957,-0.012925812272607456,0.3944792506002671,0.0008716106148141686,0.4667286049673568,45.99833142834722,-0.43311394749957394,13.317687349120208,0.7529190689137206,0.7519307451893755,0.02352038769174828,0.007158657824933687,754
ME9 BM7,-6.17833742548203e-05,0.983262469257201,-0.006582892094463834,0.5277273391350071,0.0010131626280733854,-0.06098070787737861,41.486690142061526,-0.18975988580504213,15.327015368186881,0.7166313081624531,0.715497833395103,0.02734016475023913,0.00736542175066313,754
ME9 BM8,-0.0017226844080372632,0.9679684651863777,-0.025596710088298634,0.6416880482053328,0.0008526056886530455,-2.020493683028055,48.53236664413043,-0.876804478744066,22.14638704025427,0.7803975143634629,0.7795191044209168,0.02300754029892715,0.005922879310344829,754
ME9 BM9,0.0003959388562772125,1.0056785168509808,-0.050582611210356454,0.6582323981643486,0.0012908568377529587,0.3067256141017447,33.30424403891774,-1.1444320225117341,15.004735217163246,0.623791786075342,0.6222869532196433,0.03483373511343365,0.0082789124668435,754
ME9 BM10,-0.003882670785251448,1.2094740082991267,0.17604986603329426,0.9451485034015651,0.0018355864610503628,-2.11522086681207,28.276147372651955,2.797123462322636,15.14476376518281,0.5739910018089358,0.5722592579138501,0.04913760259055388,0.006385530997304583,742
BIG LoBM,0.001920703563887081,0.9763368404558268,-0.2891444716147559,-0.4505544602794929,0.0006253577745401393,3.071367530849812,66.74052374886213,-13.503712267231995,-21.200490113685152,0.8832094766139161,0.8827423145203718,0.01687526178919808,0.005990283819628647,754
ME10 BM2,0.00169285641625113,0.9650936145844109,-0.2560702038274779,-0.14182169571617778,0.0006571456334718571,2.5760749672905314,62.78072151672098,-11.380576346304535,-6.350504212518696,0.8523024913356976,0.8517117013010403,0.017733056259867777,0.0066590941644562324,754
ME10 BM3,0.00045057608710217275,0.9658825214434384,-0.2442439426313669,0.02089955358361486,0.0007597787484896766,0.5930359173612697,54.344506860719015,-9.388657491922263,0.8094257734019811,0.8042374003956063,0.8034543499971887,0.02050260795440006,0.005921244031830238,754
ME10 BM4,-0.00026128686910841957,0.9646804411827381,-0.23631117928915982,0.12890180210525756,0.0008788807544844896,-0.2972950172992219,46.921512793046595,-7.852738742830364,4.315749169906103,0.7500556417506773,0.74905586431768,0.023716572204319372,0.005534,754
ME10 BM5,-0.0007671994832034495,0.9031779867478187,-0.2617014152705333,0.22143367397056127,0.0009090031277402324,-0.8440009278193524,42.47432181823823,-8.408287050170095,7.168123007976932,0.7076389731138526,0.706469529006308,0.024529423591313635,0.004897534482758621,754
ME10 BM6,0.0001658415772313543,0.9818183431066475,-0.2734041056030516,0.4401149725909729,0.0010504512285591096,0.15787651318075668,39.955239221769205,-7.601441796203104,12.328703587866405,0.6851427856078094,0.6838833567502407,0.028346396575552477,0.006931141909814323,754
ME10 BM7,-0.004066039203260738,1.0120923918606375,-0.261119836786609,0.5611545473539895,0.001029271129504296,-3.950406347469369,42.03478746113709,-7.409295406106398,16.042788444928483,0.7117803121041069,0.7106274333525233,0.02777485220395822,0.0032569403183023865,754
ME10 BM8,-0.0014692527301665974,1.0741939517693142,-0.24223195805561817,0.8727582913364285,0.0011463625494589056,-1.2816649766342236,39.41592009073618,-5.627612591661348,21.901265522933514,0.711513942712855,0.7103218515670402,0.030412224998450116,0.007333749315068494,730
ME10 BM9,-0.00155271358140567,1.1645042585972099,-0.28015471979196005,0.8289078046891474,0.0014234076318248119,-1.090842529356884,34.68937487815703,-5.720020412650932,16.504689057678696,0.6480632671043105,0.6466089830840803,0.037870056505480885,0.007166245205479451,730
BIG HiBM,-0.0042635608756912,1.2631743972751057,0.04733573946402789,1.0797092028605644,0.001972863401636854,-2.1611029289477366,26.113771284530007,0.6358125764943054,15.64057724748633,0.5685952580680236,0.5666041592591067,0.04920788895492106,0.007822709480122324,654
