cartera,alpha,beta_MKT,beta_SMB,beta_HML,alpha_t,beta_MKT_t,beta_SMB_t,beta_HML_t,alpha_se,r2,sigma_residual,rend_medio
ME3 BM5,-0.004839446743089836,0.986638269685572,1.0187102168927358,0.28905746986685094,-0.30350218819929103,11.584299810632539,9.335919569560179,3.102012934759876,0.015945343827017393,0.833500453967822,0.10834796064143105,0.1032248387096774
ME3 BM6,0.02620279387920578,0.9853860414488357,0.6824754569587858,0.4878810708584399,2.2753847846488937,16.019884308831717,8.66033347158214,7.249607819193915,0.011515763863758558,0.8807760345322305,0.0782491455438194,0.13431517741935484
ME3 BM7,0.0013373990132942203,0.9649718064038401,0.8605539488648368,0.5840918105793194,0.10810357336667355,14.60290959095624,10.164768243557214,8.078922913271171,0.012371459810657074,0.8799789085824208,0.08406356458560274,0.11516916129032256
ME3 BM8,-0.012849387910582596,0.9367294598300557,0.7820932215915657,0.7456779966468736,-0.9880366135298455,13.484985922820881,8.787987856283177,9.811495797297221,0.013004971409588817,0.8644661392182726,0.08836825004937086,0.10305401612903227
ME3 BM9,0.0367766988652344,0.859091205176026,0.7527087447981687,0.6863299263255574,2.5525713017026814,11.163236660339436,7.634356357195925,8.1513843316678,0.014407706785977994,0.8184541220415096,0.09789977969213971,0.14391433870967746
ME3 BM10,-0.010536631050396521,1.1011554571481075,0.7015507431494469,0.9338588467434977,-0.5933180628207069,11.608608175633522,5.772782752961959,8.99829713637651,0.017758823994509933,0.8084247079205892,0.12067048437896093,0.12319079032258066
ME4 BM1,-0.00914658031934739,1.094687957557457,0.8743484930582011,-0.6531191852697145,-0.5560366542161871,12.458929543815808,7.767290761838655,-6.794076083919407,0.01644959959022989,0.8740548390286568,0.11177435797587988,0.06973001612903225
ME4 BM2,-0.01838511373149815,1.0221525846561816,0.9599927576669676,-0.09982048310712271,-1.2614216629508763,13.129718523922966,9.625033482312753,-1.1719441821853847,0.014574915170308218,0.8663974777490405,0.09903595384058499,0.07695166129032259
ME4 BM3,0.001347719798854489,0.9166393579978346,0.8427487824025266,-0.0485761400775678,0.08669783582382305,11.039588088768166,7.922223854594943,-0.5347181752216335,0.01554502238779251,0.8163765028679049,0.10562779279735066,0.08795535483870967
ME4 BM4,0.012717621930240145,0.9118192131521836,1.010634105959561,0.10470686270260521,0.8130355433539204,10.913349941762732,9.441432666290911,1.1454392607402237,0.015642147547175647,0.8280259120985628,0.10628775429208534,0.10811487096774193
ME4 BM5,-0.000903430705556799,0.9256691607694363,0.6234517263358836,0.2835399741871539,-0.06704323347166374,12.86061153908885,6.7608805768421325,3.600540464420591,0.013475345068770286,0.8223585713095066,0.09156441986951658,0.09389369354838709
ME4 BM6,0.008764681807289095,0.9221793874824633,0.8948001293859272,0.3787433169822979,0.6322800294469727,12.454733573741178,9.432779379738879,4.675322621739499,0.013862025367075365,0.8463972629608294,0.09419189671768513,0.11252267741935483
ME4 BM7,0.027867780583349898,0.8364808071459615,0.717844368297655,0.4735707916291246,2.1822100539770606,12.262975789341066,8.214190970090696,6.345595349410755,0.012770439093414077,0.8331178545699628,0.08677461253125172,0.12474933870967743
ME4 BM8,0.00561174583059083,0.8664613087475702,0.7509534566860986,0.6025392766605334,0.3652264708218729,10.557452809119106,7.141963114455616,6.710315063003105,0.015365112550474945,0.7941006007603018,0.10440531279414987,0.11021617741935483
ME4 BM9,0.0333306097487386,0.931232099399839,0.6482452498325639,0.6952789006932087,2.2350207775721453,11.690738980015473,6.352109517769777,7.977937912762115,0.014912885859139493,0.8095936307510532,0.10133245088001558,0.14413277419354836
ME4 BM10,-0.05104176932275747,1.111723529996506,0.990825971740815,0.8435551617193444,-2.53671726844046,10.34400836208871,7.195882359960218,7.173863812566494,0.02012118967997457,0.7939859161240537,0.1367226628133765,0.08632650000000003
ME5 BM1,-0.012840014823897813,1.087835308245361,0.9708128441252463,-0.6773935086763411,-0.8804526695806059,13.965270769423102,9.727838032317246,-7.94831034163851,0.014583424262901054,0.9033871373034269,0.09909377277753263,0.06666574193548386
ME5 BM2,0.014655270634924347,0.8968300211622473,0.7518286643602968,-0.2652957625507966,0.7963267110153416,9.12332820631379,5.969756928747243,-2.4667267845892966,0.018403590426143583,0.7610292495137985,0.12505164597167562,0.08988990322580645
ME5 BM3,0.012479173077095881,0.8263019262575722,0.857897602559772,0.05396041009416137,0.714950970472528,8.862881392679215,7.182344531940954,0.5290040406150305,0.017454585828239524,0.7522509156830635,0.1186031984538475,0.09620540322580647
ME5 BM4,0.041481687513778516,0.9552976401865891,0.6359494625964891,0.058582526950310215,2.642903294371208,11.394867563669,5.920900861440272,0.6386843189586504,0.015695499567511692,0.7901883257280262,0.10665027909319473,0.1305996290322581
ME5 BM5,-0.007967818150191456,0.8855908037166822,0.5320544017275755,0.41572675629934464,-0.6131799774363684,12.75931530859149,5.9833570551530455,5.474567614768235,0.012994256895836592,0.8130945402115006,0.08829544536563924,0.08664143548387096
ME5 BM6,0.023649318960660737,0.9043287453775432,0.6969182208678179,0.4936755360944347,1.5981650444524962,11.44129134535436,6.882165877483079,5.70870880809604,0.014797795160613457,0.8016735154145981,0.10055041427990381,0.12604282258064517
ME5 BM7,0.012052001330373801,0.9626189330311098,0.540778030519044,0.5097187463028464,0.9198434175229265,13.754818164165,6.031344033039074,6.657001210283735,0.013102231424158027,0.8324552858500891,0.08902912787959204,0.11620879032258064
