cartera,alpha,beta,alpha_se,beta_se,alpha_t,beta_t,r2,sigma_residual,rend_medio,n_obs
ME9 BM10,-0.00020971536218278563,1.113615692412986,0.0020826479375075893,0.04614380416345754,-0.10069650198955982,24.133590903519107,0.44042415663141765,0.05624013796151121,0.006385530997304583,742
BIG LoBM,0.0001262454859569267,0.9817885874516437,0.0008267904477014504,0.018359674067647568,0.15269345008508522,53.47527324473035,0.7917823151965806,0.02250231679337773,0.005990283819628647,754
ME10 BM2,0.001079122702396776,0.9342285960681322,0.0007162078891741681,0.01590408240258689,1.5067171399648658,58.7414333263373,0.8210612774876249,0.01949264998999241,0.0066590941644562324,754
ME10 BM3,0.00045749661922839577,0.9147697455538566,0.0007965373900593136,0.017687875936206222,0.5743567407354583,51.71733162608673,0.7805457540856868,0.02167893538044019,0.005921244031830238,754
ME10 BM4,0.0001576024302313936,0.9001451687810663,0.0009191842299115369,0.020411366527291145,0.1714590232325476,44.1001913114206,0.7211537724825539,0.025016949325489972,0.005534,754
ME10 BM5,-4.886029887030026e-06,0.8207894008071107,0.000976827936972577,0.02169140027300491,-0.005001935041060557,37.83939213129493,0.6556492115561063,0.026585807505985753,0.004897534482758621,754
ME10 BM6,0.0017540791445537008,0.8667714721897442,0.0011874380726284244,0.02636820012807611,1.477196314474743,32.87184821033084,0.5896447294419292,0.03231787178611812,0.006931141909814323,754
ME10 BM7,-0.002015097412480555,0.8826726876896507,0.001225851734921414,0.027221212304746348,-1.6438345315958927,32.42591394563812,0.5830190947880391,0.033363356044570525,0.0032569403183023865,754
ME10 BM8,0.001945853907657955,0.9035316550067061,0.001481074690986011,0.032957028591919436,1.3138121389155073,27.41544652566883,0.5079773591424497,0.039662578554166224,0.007333749315068494,730
ME10 BM9,0.0007846278904067628,1.007870849379746,0.0017017726001174864,0.038091943665462334,0.461065062601545,26.458897929474112,0.49022223832776113,0.0455152275002061,0.007166245205479451,730
BIG HiBM,0.00038584359193543445,1.0898093819879955,0.0022819276000939103,0.05163410189999947,0.1690866931622,21.10638786937062,0.4059115133281952,0.057656825239274026,0.007822709480122324,654
